Name of School,Latitude,Longitude,Location,Data
Academy for Global Citizenship Elementary School,41.80755107,-87.74009675,"(-87.74009675, 41.80755107)",2
Alain Locke Charter Elementary Academy,41.87722085,-87.70524106,"(-87.70524106, 41.87722085)",2
ASPIRA Charter - Haugan Campus,41.96637821,-87.72182581,"(-87.72182581, 41.96637821)",2
Bronzeville Lighthouse Charter Elementary School,41.81930389,-87.62663448,"(-87.62663448, 41.81930389)",2
Catalyst Charter ES - Howland,41.85850181,-87.70802532,"(-87.70802532, 41.85850181)",2
Catalyst Elementary School - Circle Rock,41.88234944,-87.76534092,"(-87.76534092, 41.88234944)",2
Chicago Intl Charter - Avalon / South Shore,41.74315245,-87.58788286,"(-87.58788286, 41.74315245)",2
Chicago Intl Charter - Basil,41.79407037,-87.67023496,"(-87.67023496, 41.79407037)",2
Chicago Intl Charter - Bucktown,41.92239845,-87.68132064,"(-87.68132064, 41.92239845)",2
Chicago Intl Charter - Loomis Primary,41.72025066,-87.65752453,"(-87.65752453, 41.72025066)",2
Chicago Intl Charter - Irving Park,41.95090201,-87.7105295,"(-87.7105295, 41.95090201)",2
Chicago Intl Charter - Prairie,41.68444316,-87.61692508,"(-87.61692508, 41.68444316)",2
Chicago Intl Charter - Washington Park,41.78359459,-87.62203124,"(-87.62203124, 41.78359459)",2
Chicago Intl Charter - West Belden,41.92167549,-87.77671136,"(-87.77671136, 41.92167549)",2
Chicago Intl Charter - Wrightwood,41.74536617,-87.69265107,"(-87.69265107, 41.74536617)",2
Erie Elementary Charter School,41.90680106,-87.69432633,"(-87.69432633, 41.90680106)",2
Frazier Preparatory Academy Elementary School,41.86695871,-87.72631742,"(-87.72631742, 41.86695871)",2
Galapagos Elementary Charter School,41.8973405,-87.72195542,"(-87.72195542, 41.8973405)",2
Hope Institute Learning Academy,41.88338944,-87.66807949,"(-87.66807949, 41.88338944)",2
KIPP Ascend Academy Charter Elementary School,41.85836995,-87.72133609,"(-87.72133609, 41.85836995)",2
Kwame Nkrumah Academy Elementary School,41.73891334,-87.64506169,"(-87.64506169, 41.73891334)",2
LEARN Charter ES - Romano Butler Campus,41.86725283,-87.71071543,"(-87.71071543, 41.86725283)",2
LEARN Charter ES - Charles and Dorothy Campbell,41.87786014,-87.69877543,"(-87.69877543, 41.87786014)",2
LEARN Charter ES - Excel,41.87488571,-87.68631142,"(-87.68631142, 41.87488571)",2
Legacy Charter Elementary School,41.85685194,-87.73049117,"(-87.73049117, 41.85685194)",2
Namaste Charter Elementary School,41.82569,-87.667687,"(-87.667687, 41.82569)",2
Asian Human Services - Passages Charter School,41.98334408,-87.6711545,"(-87.6711545, 41.98334408)",2
Plato Learning Academy Elementary School,41.87273313,-87.76332484,"(-87.76332484, 41.87273313)",2
Polaris Charter Academy Elementary School,41.89255998,-87.70783352,"(-87.70783352, 41.89255998)",2
