,Longitude,Latitude,Name.of.School.x,Location,Data.x,Name.of.School.y,Type,Specialty,ISAT.Exceeding.Math..,ISAT.Exceeding.Reading...,Closed,Magnet,Magnet2,Testing,Type2
17,-87.78786686,41.91793654,UNO Charter - Near West Elementary,"(-87.78786686, 41.91793654)",2,NA,Charter,NA,NA,NA,NA,0,0,0,Charter
27,-87.77671136,41.92167549,Chicago Intl Charter - West Belden,"(-87.77671136, 41.92167549)",2,NA,Charter,NA,NA,NA,NA,0,0,0,Charter
40,-87.76534092,41.88234944,Catalyst Elementary School - Circle Rock,"(-87.76534092, 41.88234944)",2,NA,Charter,NA,NA,NA,NA,0,0,0,Charter
41,-87.76332484,41.87273313,Plato Learning Academy Elementary School,"(-87.76332484, 41.87273313)",2,NA,Charter,NA,NA,NA,NA,0,0,0,Charter
59,-87.74720007,41.89214726,KIPP Charter Create,"(-87.74720007, 41.89214726)",2,NA,Charter,NA,NA,NA,NA,0,0,0,Charter
64,-87.74009675,41.80755107,Academy for Global Citizenship Elementary School,"(-87.74009675, 41.80755107)",2,NA,Charter,NA,NA,NA,NA,0,0,0,Charter
83,-87.73036028,41.80789494,UNO Charter School - SPC Daniel Zizumbo Campus,"(-87.73036028, 41.80789494)",2,NA,Charter,NA,NA,NA,NA,0,0,0,Charter
84,-87.73036028,41.80789494,UNO Charter School - PFC Omar E.Torres Campus,"(-87.73036028, 41.80789494)",2,NA,Charter,NA,NA,NA,NA,0,0,0,Charter
99,-87.72195542,41.8973405,Galapagos Elementary Charter School,"(-87.72195542, 41.8973405)",2,NA,Charter,NA,NA,NA,NA,0,0,0,Charter
101,-87.72182581,41.96637821,ASPIRA Charter - Haugan Campus,"(-87.72182581, 41.96637821)",2,NA,Charter,NA,NA,NA,NA,0,0,0,Charter
133,-87.71071543,41.86725283,LEARN Charter ES - Romano Butler Campus,"(-87.71071543, 41.86725283)",2,NA,Charter,NA,NA,NA,NA,0,0,0,Charter
134,-87.7105295,41.95090201,Chicago Intl Charter - Irving Park,"(-87.7105295, 41.95090201)",2,NA,Charter,NA,NA,NA,NA,0,0,0,Charter
140,-87.70883469,41.80106791,UNO 51st and Homan Charter Elementary School,"(-87.70883469, 41.80106791)",2,NA,Charter,NA,NA,NA,NA,0,0,0,Charter
145,-87.70802532,41.85850181,Catalyst Charter ES - Howland,"(-87.70802532, 41.85850181)",2,NA,Charter,NA,NA,NA,NA,0,0,0,Charter
147,-87.70783352,41.89255998,Polaris Charter Academy Elementary School,"(-87.70783352, 41.89255998)",2,NA,Charter,NA,NA,NA,NA,0,0,0,Charter
157,-87.70524106,41.87722085,Alain Locke Charter Elementary Academy,"(-87.70524106, 41.87722085)",2,NA,Charter,NA,NA,NA,NA,0,0,0,Charter
171,-87.7021614,41.88746153,Learn Charter 7 ES,"(-87.7021614, 41.88746153)",2,NA,Charter,NA,NA,NA,NA,0,0,0,Charter
176,-87.69956817,41.9374484,UNO Charter - Carlos Fuentes,"(-87.69956817, 41.9374484)",2,NA,Charter,NA,NA,NA,NA,0,0,0,Charter
180,-87.69877543,41.87786014,LEARN Charter ES - Charles and Dorothy Campbell,"(-87.69877543, 41.87786014)",2,NA,Charter,NA,NA,NA,NA,0,0,0,Charter
183,-87.69738923,41.80833634,UNO Charter School - Officer Donald J. Marquez,"(-87.69738923, 41.80833634)",2,NA,Charter,NA,NA,NA,NA,0,0,0,Charter
196,-87.69432633,41.90680106,Erie Elementary Charter School,"(-87.69432633, 41.90680106)",2,NA,Charter,NA,NA,NA,NA,0,0,0,Charter
197,-87.69397186,41.82291183,UNO Charter - Sandra Cisneros,"(-87.69397186, 41.82291183)",2,NA,Charter,NA,NA,NA,NA,0,0,0,Charter
198,-87.69382513,41.79993702,UNO Charter - Rufino Tamayo,"(-87.69382513, 41.79993702)",2,NA,Charter,NA,NA,NA,NA,0,0,0,Charter
199,-87.69327474,41.81309752,UNO Charter 15 ES,"(-87.69327474, 41.81309752)",2,NA,Charter,NA,NA,NA,NA,0,0,0,Charter
200,-87.69303861,41.77098817,Catalyst-Maria Charter School,"(-87.69303861, 41.77098817)",2,NA,Charter,NA,NA,NA,NA,0,0,0,Charter
202,-87.69265107,41.74536617,Chicago Intl Charter - Wrightwood,"(-87.69265107, 41.74536617)",2,NA,Charter,NA,NA,NA,NA,0,0,0,Charter
203,-87.69251467,41.85000849,UNO Charter - Octavio Paz Campus,"(-87.69251467, 41.85000849)",2,NA,Charter,NA,NA,NA,NA,0,0,0,Charter
211,-87.68992811,41.90037072,UNO Charter Elementary School St Marks,"(-87.68992811, 41.90037072)",2,NA,Charter,NA,NA,NA,NA,0,0,0,Charter
218,-87.68631142,41.87488571,LEARN Charter ES - Excel,"(-87.68631142, 41.87488571)",2,NA,Charter,NA,NA,NA,NA,0,0,0,Charter
226,-87.68444132,42.01646447,UNO Charter - Rogers Park ES,"(-87.68444132, 42.01646447)",2,NA,Charter,NA,NA,NA,NA,0,0,0,Charter
235,-87.68132064,41.92239845,Chicago Intl Charter - Bucktown,"(-87.68132064, 41.92239845)",2,NA,Charter,NA,NA,NA,NA,0,0,0,Charter
266,-87.6711545,41.98334408,Asian Human Services - Passages Charter School,"(-87.6711545, 41.98334408)",2,NA,Charter,NA,NA,NA,NA,0,0,0,Charter
271,-87.67023496,41.79407037,Chicago Intl Charter - Basil,"(-87.67023496, 41.79407037)",2,NA,Charter,NA,NA,NA,NA,0,0,0,Charter
284,-87.66807949,41.88338944,Hope Institute Learning Academy,"(-87.66807949, 41.88338944)",2,NA,Charter,NA,NA,NA,NA,0,0,0,Charter
285,-87.66794196,41.85947665,UNO Charter - Bartolome de Las Casas,"(-87.66794196, 41.85947665)",2,NA,Charter,NA,NA,NA,NA,0,0,0,Charter
287,-87.667687,41.82569,Namaste Charter Elementary School,"(-87.667687, 41.82569)",2,NA,Charter,NA,NA,NA,NA,0,0,0,Charter
288,-87.66767589,41.76739834,Betty Shabazz Intl Charter - Barbara A Sizemore,"(-87.66767589, 41.76739834)",2,NA,Charter,NA,NA,NA,NA,0,0,0,Charter
294,-87.66574597,41.7431489,LEARN Charter School - Hunter Perkins,"(-87.66574597, 41.7431489)",2,NA,Charter,NA,NA,NA,NA,0,0,0,Charter
300,-87.66410941,41.90780404,Rowe Elementary School,"(-87.66410941, 41.90780404)",2,NA,Charter,NA,NA,NA,NA,0,0,0,Charter
301,-87.66395861,41.77534915,Providence Englewood Charter - Bunche,"(-87.66395861, 41.77534915)",2,NA,Charter,NA,NA,NA,NA,0,0,0,Charter
317,-87.65752453,41.72025066,Chicago Intl Charter - Loomis Primary,"(-87.65752453, 41.72025066)",2,NA,Charter,NA,NA,NA,NA,0,0,0,Charter
358,-87.64134488,41.79355292,KIPP Charter Bloom,"(-87.64134488, 41.79355292)",2,NA,Charter,NA,NA,NA,NA,0,0,0,Charter
394,-87.62663448,41.81930389,Bronzeville Lighthouse Charter Elementary School,"(-87.62663448, 41.81930389)",2,NA,Charter,NA,NA,NA,NA,0,0,0,Charter
401,-87.62203124,41.78359459,Chicago Intl Charter - Washington Park,"(-87.62203124, 41.78359459)",2,NA,Charter,NA,NA,NA,NA,0,0,0,Charter
