"","Mod3_Coef","Mod3_SE","Mod3_tstat","Mod3_pvalue","Mod4_Coef","Mod4_SE","Mod4_tstat","Mod4_pvalue"
"Intercept",12.09,0.055,219.066,0,12.142,0.056,218.509,0
"Magnet Cluster (ref=Neighborhood Schools)",0.059,0.049,1.207,0.228,0.049,0.047,1.033,0.302
"Magnet",0.188,0.065,2.876,0.004,0.022,0.069,0.317,0.752
"Crime Rate",-0.48,0.202,-2.376,0.018,-0.43,0.196,-2.199,0.029
"Median Number of Rooms",-0.124,0.027,-4.576,0,-0.115,0.026,-4.374,0
"Median Number of Rooms^2",0.044,0.015,2.885,0.004,0.03,0.015,2.062,0.04
"log(Median Income)",0.376,0.052,7.229,0,0.278,0.053,5.227,0
"log(Proportion Commuting > 30 min)",-0.37,0.075,-4.903,0,-0.351,0.073,-4.783,0
"Proportion of Homes Build before 1940",0.145,0.087,1.679,0.094,0.212,0.085,2.499,0.013
"Proportion Black",-0.199,0.07,-2.83,0.005,-0.13,0.073,-1.784,0.075
"Proportion Black^2",0.291,0.264,1.101,0.271,0.144,0.263,0.547,0.585
"ISAT Reading",NA,NA,NA,NA,0.016,0.005,3.538,0
"ISAT Math",NA,NA,NA,NA,-0.004,0.004,-1.1,0.272
